id,smiles,onepot_sim_pct,jack_boltz_kd_uM,jack_boltz_prob_binder,scc_boltz_kd_uM,scc_boltz_prob_binder,v1_gnina_vina,v1_gnina_pose,v1_gnina_pkd,v1_gnina_kd_uM
opv1_000126,OB(O)c1cccc(NC(=S)Nc2cccc(B(O)O)c2)c1,100,,,,,-7.17,0.6677,5.599,2.52
opv1_000098,O=C(Nc1cccc(B(O)O)c1)Nc1cccc(B(O)O)c1,100,,,,,-7.16,0.6631,5.544,2.86
opv1_000097,O=C(O)CC1CCN(C(=O)Nc2cccc(B(O)O)c2)CC1,100,,,,,-6.59,0.661,5.537,2.9
opv1_000121,OB(O)c1cccc(NC(=S)Nc2cccc(Br)c2)c1,100,,,,,-6.66,0.7494,5.389,4.08
opv1_000096,CN1CCC(NC(=O)Nc2cccc(B(O)O)c2)CC1,100,,,,,-6.84,0.7385,5.335,4.62
opv1_000093,O=C(Nc1cccc(Br)c1)Nc1cccc(B(O)O)c1,100,,,,,-6.97,0.746,5.322,4.76
opv1_000095,O=C(NCc1ccncc1)Nc1cccc(B(O)O)c1,100,,,,,-6.93,0.7023,5.279,5.26
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,100,,,,,-6.06,0.7691,5.199,6.32
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,100,8.157,0.358,8.761,0.3599,,,,
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1,100,8.318,0.458,8.171,0.458,,,,
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1,100,,,,,-5.92,0.729,4.965,10.84
FM001580_analog_0059,O=C(O)c1cc(-c2ccsc2)ccc1OC(F)(F)F,100,16.722,0.416,17.057,0.4055,,,,
opv1_000002,O=C(Nc1cccc(Br)c1)c1ccc(Cl)cc1,100,,,,,-5.72,0.8046,4.728,18.71
opv1_000075,O=C(Nc1ccccc1)Nc1cccc(Br)c1,100,,,,,-5.92,0.7968,4.619,24.04
opv1_000009,O=C(Nc1cccc(Br)c1)C1Cc2ccccc2O1,100,,,,,-6.44,0.7304,4.598,25.23
opv1_000077,O=C(Nc1cccc(Br)c1)NC1CC1,100,,,,,-5.51,0.8374,4.514,30.62
FM001580_analog_0056,O=C(O)c1cc(-c2ccncc2)ccc1OC(F)(F)F,100,45.105,0.39,47.404,0.3902,,,,
opv1_000031,Nc1cccc(-c2cccc(C(F)(F)F)c2)c1,100,,,,,-5.95,0.8789,4.184,65.46
opv1_000057,FC(F)(F)c1cccc(Nc2ccccc2)c1,100,,,,,-5.96,0.8853,4.059,87.3
opv1_000032,Fc1ccc(-c2cccc(C(F)(F)F)c2)cc1,100,,,,,-5.87,0.7994,4.056,87.9
opv1_000060,FC(F)(F)c1cccc(NCc2ccncc2)c1,100,,,,,-5.71,0.8599,4.052,88.72
opv1_000023,Nc1cccc(-c2cccc(N)c2)c1,100,,,,,-5.97,0.8253,3.897,126.77
opv1_000030,FC(F)(F)c1cccc(-c2ccccc2)c1,100,,,,,-5.86,0.8275,3.894,127.64
