cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
Z795991852,ok,Cn1c(=O)c2ccccc2n2c(COC(=O)c3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,0.8414,0.8903,0.7461,0.7461,0.7461,0.8224,0.8224,0.236,1.72,5.764,0.5559,121.3,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/Z795991852/boltz_results_Z795991852/predictions/Z795991852
Z979336988,ok,Cc1ccc2[nH]c(C3CCCN(C(=O)c4cccc(CN5C(=O)c6ccccc6C5=O)c4)C3)nc2c1,0.8202,0.9064,0.7605,0.7605,0.7605,0.8083,0.8083,0.596,3.947,5.404,0.485,120.1,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/Z979336988/boltz_results_Z979336988/predictions/Z979336988
D203-0031,ok,O=C(c1ccc2c(c1)OCO2)N1CCC(c2nc(O)c3nnn(Cc4ccc(F)cc4)c3n2)CC1,0.8412,0.8545,0.5842,0.6786,0.5842,0.7898,0.7898,-0.582,0.262,6.582,0.5107,120.6,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/D203-0031/boltz_results_D203-0031/predictions/D203-0031
FM001580,ok,O=C(O)c1ccccc1OC(F)(F)F,0.9106,0.9205,0.7101,0.7101,0.7101,0.8705,0.8705,1.524,33.456,4.476,0.1892,111.6,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/FM001580/boltz_results_FM001580/predictions/FM001580
FM001452,ok,Nc1cccc(OCc2ccccc2)c1,0.9121,0.928,0.7434,0.7539,0.7434,0.8783,0.8783,1.237,17.25,4.763,0.3177,114.3,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/FM001452/boltz_results_FM001452/predictions/FM001452
FM002150,ok,O=C(O)COCc1ccccc1,0.9136,0.8367,0.6991,0.6991,0.6991,0.8707,0.8707,1.588,38.751,4.412,0.2483,109.4,3,3,$HOME/Hackathon/TBXT/data/boltz/runs/FM002150/boltz_results_FM002150/predictions/FM002150
Z795991852_analog_0008,ok,O=C(Nc1cccc(-c2cccc(C3Cc4ccccc4O3)c2)c1)C1Cc2ccccc2O1,0.8405,0.8998,0.7717,0.7717,0.7717,0.8268,0.8268,1.029,10.694,4.971,0.4257,163.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0008/boltz_results_Z795991852_analog_0008/predictions/Z795991852_analog_0008
Z795991852_analog_0002,ok,O=C(Nc1cccc(C2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,0.852,0.9095,0.8142,0.8142,0.8142,0.8444,0.8444,0.744,5.54,5.256,0.3596,83.3,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0002/boltz_results_Z795991852_analog_0002/predictions/Z795991852_analog_0002
Z795991852_analog_0007,ok,O=C(Nc1cccc(NC2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,0.8509,0.9068,0.7716,0.7716,0.7716,0.8351,0.8351,0.719,5.24,5.281,0.3654,82.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0007/boltz_results_Z795991852_analog_0007/predictions/Z795991852_analog_0007
Z795991852_analog_0004,ok,O=C(Nc1cccc(OC2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,0.836,0.8811,0.7801,0.7801,0.7801,0.8248,0.8248,0.578,3.786,5.422,0.3251,82.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/Z795991852_analog_0004/boltz_results_Z795991852_analog_0004/predictions/Z795991852_analog_0004
