id,smiles,muni_similarity,muni_price_usd,muni_chem_risk,muni_supplier_risk,jack_boltz_kd_uM,jack_boltz_prob_binder,scc_boltz_kd_uM,scc_boltz_prob_binder,v1_gnina_kd_uM,v1_gnina_pkd
FM002150_analog_0083,O=C(O)COCc1ccc(-c2ccsc2)cc1,1.0,,,,3.2,0.301,3.256,0.2993,,
FM001452_analog_0104,Cc1ccccc1COc1cccc(N)c1,1.0,125,low,medium,3.722,0.409,4.973,0.4082,,
Z795991852_analog_0075,Cn1c(=O)c2ccccc2n2c(CNCC3Cc4ccccc4O3)nnc12,1.0,590,medium,medium,5.676,0.406,5.756,0.4095,,
FM001452_analog_0040,COc1cc(N)cc(OCc2ccccc2)c1,1.0,1000,low,high,5.868,0.338,5.651,0.3178,,
FM001452_analog_0030,Nc1cc(OCc2ccccc2)ccc1-c1ccccn1,1.0,540,low,low,5.974,0.449,5.862,0.4521,,
FM001452_analog_0009,CNC(=O)Nc1cccc(OCc2ccccc2)c1,1.0,375,high,medium,6.245,0.322,7.723,0.295,,
FM001452_analog_0008,CS(=O)(=O)Nc1cccc(OCc2ccccc2)c1,1.0,375,high,medium,6.315,0.257,6.991,0.2486,,
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,1.0,375,high,low,,,,,6.32,5.199
FM001452_analog_0032,Nc1cc(OCc2ccccc2)ccc1-c1ccsc1,1.0,590,medium,low,6.343,0.443,6.475,0.4363,,
FM001452_analog_0005,CCC(=O)Nc1cccc(OCc2ccccc2)c1,1.0,250,medium,low,6.762,0.326,8.079,0.3318,,
FM001452_analog_0004,CC(=O)Nc1cccc(OCc2ccccc2)c1,1.0,250,medium,medium,7.0,0.273,6.994,0.2709,,
FM001452_analog_0029,Nc1cc(OCc2ccccc2)ccc1-c1ccncc1,1.0,295,low,low,7.464,0.494,7.527,0.4941,,
FM001452_analog_0059,Nc1cc(OCc2ccccc2)cc(-c2ccccn2)c1,1.0,590,medium,low,7.856,0.513,7.598,0.5075,,
FM001452_analog_0201,NC(=O)Nc1cccc(OCc2ccccc2)c1,1.0,375,high,medium,8.157,0.358,8.761,0.3599,,
FM001452_analog_0171,Nc1cccc(OCc2ccc(-c3ccncc3)cc2)c1,1.0,250,medium,medium,8.318,0.458,8.171,0.458,,
FM001452_analog_0155,COc1ccc(COc2cccc(N)c2)cc1,1.0,125,low,low,8.472,0.504,8.447,0.5051,,
FM001452_analog_0001,Nc1cccc(OCc2ccncc2)c1,1.0,295,low,medium,9.296,0.459,9.906,0.4284,,
FM001452_analog_0162,Cc1ccc(COc2cccc(N)c2)cc1,1.0,125,low,medium,9.513,0.516,8.771,0.5388,,
FM001452_analog_0015,Nc1cc(OCc2ccccc2)ccc1C(F)(F)F,1.0,1000,low,high,10.253,0.489,11.556,0.4782,,
FM001452_analog_0058,Nc1cc(OCc2ccccc2)cc(-c2ccncc2)c1,1.0,125,low,low,10.596,0.467,11.252,0.4595,,
opv1_000078,O=C(NCc1ccncc1)Nc1cccc(Br)c1,1.0,375,high,low,,,,,10.84,4.965
FM001452_analog_0133,Cc1cccc(COc2cccc(N)c2)c1,1.0,125,low,medium,11.083,0.35,11.26,0.3446,,
FM001452_analog_0079,N#Cc1ccc(N)cc1OCc1ccccc1,1.0,295,low,low,11.209,0.505,11.145,0.5073,,
FM001452_analog_0200,O=C(Nc1cccc(OCc2ccccc2)c1)c1ccccc1,1.0,125,low,medium,11.243,0.401,11.553,0.4031,,
FM001452_analog_0060,Nc1cc(OCc2ccccc2)cc(-c2ccoc2)c1,1.0,125,low,low,11.441,0.469,11.475,0.4695,,
FM001452_analog_0031,Nc1cc(OCc2ccccc2)ccc1-c1ccoc1,1.0,590,medium,low,11.622,0.402,11.269,0.4026,,
FM001452_analog_0189,Cc1c(N)cccc1OCc1ccccc1,1.0,125,low,low,11.669,0.61,12.155,0.6106,,
FM001452_analog_0190,Nc1cccc(OCc2ccccc2)c1N,1.0,125,low,low,11.859,0.604,12.026,0.6037,,
FM001452_analog_0172,Nc1cccc(OCc2ccc(-c3ccccn3)cc2)c1,1.0,590,medium,medium,11.889,0.528,11.683,0.5259,,
FM001452_analog_0006,CNc1cccc(OCc2ccccc2)c1,1.0,540,low,low,12.215,0.439,12.024,0.444,,
