id,smiles,tier,boltz_kd_jack_uM,boltz_pb_jack,boltz_kd_scc_uM,boltz_pb_scc,v1_gnina_kd_uM,muni_price_usd,muni_chem_risk,muni_supplier_risk,MW_Da,LogP,HBD,HBA,HA,rings,fused_rings,esol_logS,naar_max_tanimoto,forbidden_motifs,C1_onepot_100,C2_non_covalent,C3a_MW_le_600,C3b_LogP_le_6,C3c_HBD_le_6,C3d_HBA_le_12,C4a_HA_10_30,C4b_HBD_HBA_le_11,C4c_LogP_lt_5,C4d_lt_5_rings,C4e_le_2_fused,C5_no_PAINS,C5b_no_forbidden,C6_naar_tanimoto_lt_085,C7_soluble_logS_gt_neg5
FM002150_analog_0082,O=C(O)COCc1ccc(-c2ccoc2)cc1,T2_SILVER,4.736,0.387,4.662,0.3836,,250,medium,low,232.2,2.55,1,3,17,2,0,-4.03,0.543,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0040,COc1cc(N)cc(OCc2ccccc2)c1,T2_SILVER,5.868,0.338,5.651,0.3178,,1000,low,high,229.3,2.86,1,3,17,2,0,-4.28,0.618,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0009,CNC(=O)Nc1cccc(OCc2ccccc2)c1,T2_SILVER,6.245,0.322,7.723,0.295,,375,high,medium,256.3,3.02,2,2,19,2,0,-4.55,0.489,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0008,CS(=O)(=O)Nc1cccc(OCc2ccccc2)c1,T2_SILVER,6.315,0.257,6.991,0.2486,,375,high,medium,277.3,2.64,1,3,19,2,0,-4.37,0.625,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0005,CCC(=O)Nc1cccc(OCc2ccccc2)c1,T2_SILVER,6.762,0.326,8.079,0.3318,,250,medium,low,255.3,3.61,1,2,19,2,0,-4.85,0.49,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0004,CC(=O)Nc1cccc(OCc2ccccc2)c1,T2_SILVER,7.0,0.273,6.994,0.2709,,250,medium,medium,241.3,3.22,1,2,18,2,0,-4.58,0.524,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0020,Cc1ccc(OCc2ccccc2)cc1N,T2_SILVER,7.002,0.52,7.286,0.5133,,125,low,low,213.3,3.16,1,2,16,2,0,-4.43,0.697,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM002150_analog_0080,O=C(O)COCc1ccc(-c2ccncc2)cc1,T2_SILVER,7.635,0.368,7.529,0.3782,,250,medium,low,243.3,2.35,1,3,18,2,0,-3.98,0.594,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM002150_analog_0053,O=C(O)COCc1cccc(-c2ccncc2)c1,T2_SILVER,8.195,0.349,9.686,0.3501,,590,medium,medium,243.3,2.35,1,3,18,2,0,-3.98,0.556,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM002150_analog_0056,O=C(O)COCc1cccc(-c2ccsc2)c1,T2_SILVER,8.343,0.266,8.333,0.267,,885,high,medium,248.3,3.02,1,3,17,2,0,-4.43,0.541,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0155,COc1ccc(COc2cccc(N)c2)cc1,T2_SILVER,8.472,0.504,8.447,0.5051,,125,low,low,229.3,2.86,1,3,17,2,0,-4.28,0.697,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0162,Cc1ccc(COc2cccc(N)c2)cc1,T2_SILVER,9.513,0.516,8.771,0.5388,,125,low,medium,213.3,3.16,1,2,16,2,0,-4.43,0.719,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0001,Nc1cccc(OCc2ccncc2)c1,T2_SILVER,9.296,0.459,9.906,0.4284,,295,low,medium,200.2,2.24,1,3,15,2,0,-3.78,0.719,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0030,Nc1cc(OCc2ccccc2)ccc1-c1ccccn1,T3_BRONZE,5.974,0.449,5.862,0.4521,,540,low,low,276.3,3.91,1,3,21,3,0,-5.97,0.59,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
opv1_000076,O=C(Nc1cccc(Br)c1)Nc1cccc(Br)c1,T3_BRONZE,,,,,6.32,375,high,low,370.0,4.86,2,1,18,2,0,-6.54,0.484,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
FM001452_analog_0032,Nc1cc(OCc2ccccc2)ccc1-c1ccsc1,T3_BRONZE,6.343,0.443,6.475,0.4363,,590,medium,low,281.4,4.58,1,3,20,3,0,-6.42,0.575,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
FM001452_analog_0029,Nc1cc(OCc2ccccc2)ccc1-c1ccncc1,T3_BRONZE,7.464,0.494,7.527,0.4941,,295,low,low,276.3,3.91,1,3,21,3,0,-5.97,0.59,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
FM001452_analog_0059,Nc1cc(OCc2ccccc2)cc(-c2ccccn2)c1,T3_BRONZE,7.856,0.513,7.598,0.5075,,590,medium,low,276.3,3.91,1,3,21,3,0,-5.97,0.525,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
FM002150_analog_0027,O=C(O)COCc1ccccc1-c1ccsc1,T3_BRONZE,10.34,0.23,9.307,0.2218,,885,high,medium,248.3,3.02,1,3,17,2,0,-4.43,0.474,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
FM001452_analog_0015,Nc1cc(OCc2ccccc2)ccc1C(F)(F)F,T3_BRONZE,10.253,0.489,11.556,0.4782,,1000,low,high,267.2,3.87,1,2,19,2,0,-5.21,0.639,-,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✗
