rank,id,composite,tier_a_pass,chemotype,site,cnn_pose_F_mean,cnn_pose_F_stdev,cnn_pkd_F,vina_F,selectivity_score,n_site_F_contacts,mmgbsa_de_kcal,boltz_kd_uM,boltz_prob_binder,boltz_ipTM,smiles
1,gen_0004,0.6749,True,novel_BRICS_recombinant,F,0.7023,0.1706,6.453,-7.91,0.474,9.0,-3.19,3.782,0.5923,0.8452,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc4ccccn4c3=O)c2cc1N
2,gen_0025,0.6451,True,novel_BRICS_recombinant,F,0.6943,0.1538,6.293,-7.46,0.474,9.0,-2.63,5.173,0.6142,0.8955,COc1cc2nc(-c3cccc(N)c3)nc(NS(=O)(=O)c3ccc(C)cc3)c2cc1N
3,gen_0007,0.6282,True,novel_BRICS_recombinant,F,0.6844,0.1563,6.105,-7.37,0.4,2.0,-7.67,2.463,0.5955,0.6963,COc1cc2nc(-c3cccc(N)c3)nc(-n3nc4ccccn4c3=O)c2cc1N
4,Z795991852_analog_0087,0.5977,True,quinazolinone_triazole_chromene_amide,F,0.6393,0.1484,6.049,-8.04,0.508,8.0,-4.4,1.873,0.5287,0.7297,Cn1c(=O)c2ccccc2n2c(COc3cccc(C4Cc5ccccc5O4)c3)nnc12
5,Z795991852_analog_0001,0.57,True,quinazolinone_triazole_chromene_amide,F,0.6665,0.118,5.916,-7.61,0.766,2.0,-2.34,3.465,0.5183,0.7366,Cn1c(=O)c2ccccc2n2c(NC(=O)C3Cc4ccccc4O3)nnc12
6,Z795991852_analog_0052,0.5556,True,quinazolinone_triazole_chromene_amide,F,0.8276,0.1926,5.536,-7.28,,,,7.767,0.4719,0.6612,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12
7,Z795991852_analog_0051,0.5282,True,quinazolinone_triazole_chromene_amide,F,0.6962,0.1102,5.537,-6.71,0.6,1.0,-0.82,5.396,0.5539,0.8361,Cn1c(=O)c2ccccc2n2c(NC3Cc4ccccc4O3)nnc12
8,Z795991852_analog_0011,0.5088,True,quinazolinone_triazole_chromene_amide,F,0.7,0.1436,5.915,-7.39,0.474,9.0,-2.34,6.087,0.358,0.7929,Cn1c(=O)c2ccccc2n2c(CNC(=O)C3Cc4ccccc4O3)nnc12
9,FM001452_analog_0169,0.4794,False,fragment_FM001452_growing,F,0.8655,0.1272,4.355,-5.64,,,-1.25,7.711,0.654,0.7436,CC(C)c1ccc(COc2cccc(N)c2)cc1
10,FM001452_analog_0200,0.4777,True,fragment_FM001452_growing,F,0.7892,0.119,5.352,-6.55,,,0.12,11.201,0.3976,0.8084,O=C(Nc1cccc(OCc2ccccc2)c1)c1ccccc1
11,FM001452_analog_0112,0.4726,False,fragment_FM001452_growing,F,0.8372,0.1658,4.353,-6.28,,,-2.04,4.791,0.5655,0.8472,CC(C)c1ccccc1COc1cccc(N)c1
