id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
gen_0004,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc4ccccn4c3=O)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",Nc1cccc(Br)c1,COc1cc2nc(B(O)O)nc(Cn3nc4ccccn4c3=O)c2cc1N,0,1,1,0,0,0,1
gen_0025,COc1cc2nc(-c3cccc(N)c3)nc(NS(=O)(=O)c3ccc(C)cc3)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",Nc1cccc(Br)c1,COc1cc2nc(B(O)O)nc(NS(=O)(=O)c3ccc(C)cc3)c2cc1N,0,1,1,0,0,0,1
gen_0007,COc1cc2nc(-c3cccc(N)c3)nc(-n3nc4ccccn4c3=O)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(-n3nc4ccccn4c3=O)c2cc1N,Nc1cccc(B(O)O)c1,0,1,1,0,0,0,1
Z795991852_analog_0087,Cn1c(=O)c2ccccc2n2c(COc3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,o_alkylation,o_alkylation,Cn1c(=O)c2ccccc2n2c(CBr)nnc12,[H]Oc1cccc(C2Cc3ccccc3O2)c1,0,0,0,0,0,0,1
Z795991852_analog_0001,Cn1c(=O)c2ccccc2n2c(NC(=O)C3Cc4ccccc4O3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]Nc1nnc2n(C)c(=O)c3ccccc3n12,1,0,0,0,0,0,1
Z795991852_analog_0052,Cn1c(=O)c2ccccc2n2c(CNC3Cc4ccccc4O3)nnc12,1.0,n_alkylation,"n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(CBr)nnc12,[H]NC1Cc2ccccc2O1,0,0,0,0,0,1,1
Z795991852_analog_0051,Cn1c(=O)c2ccccc2n2c(NC3Cc4ccccc4O3)nnc12,1.0,buchwald_hartwig,"buchwald_hartwig,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,[H]NC1Cc2ccccc2O1,0,0,1,0,0,1,1
Z795991852_analog_0011,Cn1c(=O)c2ccccc2n2c(CNC(=O)C3Cc4ccccc4O3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)C1Cc2ccccc2O1,[H]NCc1nnc2n(C)c(=O)c3ccccc3n12,1,0,0,0,0,0,1
FM001452_analog_0169,CC(C)c1ccc(COc2cccc(N)c2)cc1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",CC(C)c1ccc(CBr)cc1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0200,O=C(Nc1cccc(OCc2ccccc2)c1)c1ccccc1,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)c1ccccc1,[H]Nc1cccc(OCc2ccccc2)c1,1,0,0,0,0,0,1
FM001452_analog_0112,CC(C)c1ccccc1COc1cccc(N)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",CC(C)c1ccccc1CBr,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0141,CC(C)c1cccc(COc2cccc(N)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",CC(C)c1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
